x,y,z
-0.164124,0.98644,1.36433
-0.160724,0.966731,1.34008
-0.157282,0.947028,1.30779
-0.153922,0.927312,1.28358
-0.15048,0.90761,1.25129
-0.14712,0.887894,1.22708
-0.14376,0.868178,1.20287
-0.140359,0.848469,1.17058
-0.137,0.828753,1.14633
-0.13364,0.809037,1.12213
-0.133599,0.809043,1.11404
-0.130239,0.789327,1.08983
-0.12692,0.769605,1.06563
-0.123561,0.749889,1.03333
-0.120201,0.730172,1.00913
-0.116882,0.71045,0.984875
-0.113522,0.690733,0.952583
-0.110204,0.671011,0.928375
-0.106844,0.651294,0.896083
-0.103566,0.631565,0.871875
-0.100248,0.611842,0.847667
-0.0969289,0.592119,0.815375
-0.0936102,0.572396,0.791125
-0.0902915,0.552673,0.758833
-0.087014,0.532943,0.734625
-0.0837364,0.513214,0.710417
-0.0804588,0.493484,0.678125
-0.0771812,0.473754,0.653917
-0.0739037,0.454025,0.629667
-0.0738626,0.454031,0.621625
-0.0706261,0.434295,0.597375
-0.0673485,0.414565,0.573167
-0.0641121,0.394829,0.540875
-0.0608345,0.375099,0.516667
-0.057598,0.355362,0.492458
-0.0543616,0.335626,0.460167
-0.0511251,0.31589,0.435917
-0.0478887,0.296153,0.403625
-0.0446522,0.276417,0.379417
-0.0414158,0.25668,0.355208
-0.0382205,0.236937,0.322917
-0.034984,0.217201,0.298708
-0.0318051,0.197455,0.2664
-0.0286345,0.177708,0.2422
-0.0253651,0.157977,0.218
-0.0221945,0.13823,0.1857
-0.0190238,0.118482,0.1615
-0.0158532,0.0987354,0.1292
-0.0158532,0.0987354,0.1372
-0.0126826,0.0789883,0.1049
-0.00951192,0.0592412,0.0807
-0.00635636,0.0399981,0.0484
-0.164124,0.98644,1.36433
-0.160724,0.966731,1.34008
-0.157282,0.947028,1.30779
-0.153922,0.927312,1.28358
-0.15048,0.90761,1.25129
-0.14712,0.887894,1.22708
-0.14376,0.868178,1.20287
-0.140359,0.848469,1.17058
-0.137,0.828753,1.14633
-0.13364,0.809037,1.12213
-0.133599,0.809043,1.11404
-0.130239,0.789327,1.08983
-0.12692,0.769605,1.06563
-0.123561,0.749889,1.03333
-0.120201,0.730172,1.00913
-0.116882,0.71045,0.984875
-0.113522,0.690733,0.952583
-0.110204,0.671011,0.928375
-0.106844,0.651294,0.896083
-0.103566,0.631565,0.871875
-0.100248,0.611842,0.847667
-0.0969289,0.592119,0.815375
-0.0936102,0.572396,0.791125
-0.0902915,0.552673,0.758833
-0.087014,0.532943,0.734625
-0.0837364,0.513214,0.710417
-0.0804588,0.493484,0.678125
-0.0771812,0.473754,0.653917
-0.0739037,0.454025,0.629667
-0.0738626,0.454031,0.621625
-0.0706261,0.434295,0.597375
-0.0673485,0.414565,0.573167
-0.0641121,0.394829,0.540875
-0.0608345,0.375099,0.516667
-0.057598,0.355362,0.492458
-0.0543616,0.335626,0.460167
-0.0511251,0.31589,0.435917
-0.0478887,0.296153,0.403625
-0.0446522,0.276417,0.379417
-0.0414158,0.25668,0.355208
-0.0382205,0.236937,0.322917
-0.034984,0.217201,0.298708
-0.0318051,0.197455,0.2664
-0.0286345,0.177708,0.2422
-0.0253651,0.157977,0.218
-0.0221945,0.13823,0.1857
-0.0190238,0.118482,0.1615
-0.0158532,0.0987354,0.1292
-0.0158532,0.0987354,0.1372
-0.0126826,0.0789883,0.1049
-0.00951192,0.0592412,0.0807
-0.00635636,0.0399981,0.0484